umap_1,umap_2,OmiqFilter
-7.7004,3.5017,Non-Plasmablasts
-2.2293,-6.0951,Immature granulocytes
4.5644,0.01355,CD4/Tem
5.743,7.0893,CD4/Tnaive/Tn
-4.7657,-2.7303,Monocytes
4.0045,-7.1795,CD8/Tem
-8.4725,6.1595,Non-Plasmablasts
-6.81,7.4218,Non-Plasmablasts
5.4501,2.0358,CD4/Tcm
-7.3503,3.9586,Non-Plasmablasts
-4.5168,8.093,Non-Plasmablasts
7.9228,0.59216,CD4/Tem
-2.616,-9.0166,NK cells
3.0736,-7.5382,CD8/Tem
-9.2892,-5.2417,Eosinophils
-1.9275,0.11747,NK cells
-8.3315,3.2278,Non-Plasmablasts
5.9654,1.2693,CD4/Tcm
-3.0517,-5.4726,NK cells
-4.8693,-2.8184,Monocytes
9.9299,3.6037,CD4/Tem
-6.162,3.9511,Non-Plasmablasts
-5.0559,5.8315,Non-Plasmablasts
3.7266,-7.403,CD8/Tem
-7.1014,3.2258,Non-Plasmablasts
-3.8812,6.325,Non-Plasmablasts
-6.6924,2.5613,Non-Plasmablasts
-11.076,-4.816,Neutrophils
-4.443,2.9998,Non-Plasmablasts
-4.7601,-8.0306,NK cells
3.2748,-12.48,CD8/Tnaive/Tn
4.8896,8.2137,CD4/Tnaive/Tn
-4.2229,-8.2062,NK cells
-2.7117,-9.4661,NK cells
4.105,0.19343,CD4/Tem
3.407,-8.2262,CD8/Tem
-2.3078,-8.5643,NK cells
-7.4251,5.318,Non-Plasmablasts
3.8218,1.7632,CD4/Tem
-3.7432,-5.6691,NK cells
-10.354,-4.9117,Neutrophils
4.2308,-6.4107,CD8/Tem
-3.5525,-5.6794,NK cells
3.4731,-12.783,CD8/Tnaive/Tn
-5.0655,-2.5941,Monocytes
-1.7566,1.6031,Plasmablasts
-5.0903,-8.6486,NK cells
-10.716,-3.6825,Neutrophils
-4.8539,-2.1798,Monocytes
2.638,-12.394,CD8/Tnaive/Tn
-6.4553,7.838,Non-Plasmablasts
-5.3343,3.2223,Non-Plasmablasts
-5.4528,4.3296,Non-Plasmablasts
-5.5863,5.9018,Non-Plasmablasts
-9.5926,-5.9828,Neutrophils
-5.6599,5.3296,Non-Plasmablasts
-4.5338,-8.7001,NK cells
-10.818,-3.6112,Neutrophils
-7.9448,3.5951,Non-Plasmablasts
7.7182,0.46849,CD4/Tcm
-3.7571,-9.2954,NK cells
-4.2648,-8.6646,NK cells
-10.641,-3.2717,Neutrophils
5.3281,-5.8989,CD8/Tem
-10.556,-4.8808,Neutrophils
3.6021,-6.9647,CD8/Tem
2.9299,-12.137,CD8/Tnaive/Tn
1.3374,-7.6303,CD8/Temra
-3.719,-7.9176,NK cells
-5.3894,7.8127,Non-Plasmablasts
3.3645,-8.7574,CD8/Temra
-6.5687,2.7326,Non-Plasmablasts
-4.1867,-8.3717,NK cells
-5.0031,5.8046,Non-Plasmablasts
-4.4394,5.6604,Non-Plasmablasts
5.2168,0.080556,CD4/Tem
-6.864,3.5716,Non-Plasmablasts
-6.3055,4.7763,Non-Plasmablasts
-1.3292,1.2949,Plasmablasts
-2.073,1.1201,Plasmablasts
5.1329,3.7797,CD4/Tcm
-5.0171,-2.7926,Monocytes
-5.8363,-2.4041,Monocytes
-10.709,-2.7928,Neutrophils
-10.979,-4.3734,Neutrophils
-6.5588,7.4771,Non-Plasmablasts
-2.0842,1.557,Plasmablasts
-4.12,-9.0732,NK cells
-1.5971,1.0878,Plasmablasts
-3.252,-5.5002,NK cells
-5.7586,5.3278,Non-Plasmablasts
1.6244,-6.6046,CD8/Temra
-7.2225,7.1706,Non-Plasmablasts
-1.8483,0.12821,Plasmablasts
-6.4763,3.725,Non-Plasmablasts
-7.6116,6.0473,Non-Plasmablasts
8.3794,0.99444,CD4/Tcm
-6.3706,6.77,Non-Plasmablasts
4.3618,-0.0057056,CD4/Tem
-3.0589,-8.4675,NK cells
3.9194,-12.427,CD8/Tnaive/Tn
-4.6623,6.6377,Non-Plasmablasts
-2.286,1.6972,Plasmablasts
-3.9216,-7.7014,NK cells
-1.3352,1.6553,Plasmablasts
-1.5211,1.3386,Plasmablasts
-3.6163,-5.4562,NK cells
-7.1126,6.1622,Non-Plasmablasts
-5.145,7.2935,Non-Plasmablasts
3.5492,-11.07,CD8/Tnaive/Tn
-5.0509,-2.0999,Monocytes
-9.0173,-5.9419,Neutrophils
8.2449,3.1404,CD4/Tcm
-6.3794,5.4936,Non-Plasmablasts
-6.4346,6.1687,Non-Plasmablasts
-7.1281,3.6828,Non-Plasmablasts
-6.0687,7.1675,Non-Plasmablasts
-1.9966,1.1197,DCs
-8.0632,4.3489,Non-Plasmablasts
7.1772,5.3925,CD4/Tcm
-10.682,-4.8999,Neutrophils
-8.026,4.7408,Non-Plasmablasts
-3.316,-8.1797,NK cells
7.4087,1.5148,CD4/Tcm
6.8497,2.161,CD4/Tem
7.3217,0.96745,CD4/Tcm
5.9101,-7.1387,CD8/Tem
-1.9343,0.99426,Plasmablasts
-2.067,2.131,Plasmablasts
-4.0838,-1.5562,Monocytes
-11.022,-5.0031,Neutrophils
-6.0259,7.1293,Non-Plasmablasts
-5.0564,-8.6851,NK cells
