gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
DKFZP434C153,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
EFNB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
EIF5A2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
EPHA4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
EPHB1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FAM124B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FAM5B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FBXL2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FLG,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FLT3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
FRZB,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GABRB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GAGE1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GDPD3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GHRH,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GJA4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GNRHR,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GOLGA6A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GRB14,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GRM6,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
GSDMB,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
H1F0,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
HIPK3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
HMGA2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
HTR1F,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
IFNG,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
IL12B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
IL1RAPL1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
IL3RA,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
INA,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
INPP5J,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
IQCH,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
JPH2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
JRK,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
KCND3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
KIAA1009,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
KIF4A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
KLF3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
KLHL29,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LCT,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LGR5,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LIFR,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LIG3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC100129410,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC1720,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC220077,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC339290,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
